Salary & Benefits Category,Management and All Other,Pilots & Co-Pilots,Flight Attendants,Maintenance,"Passenger, Cargo and Aircraft Handling",All Others,Year,,United Airlines Employee Data and Analysis,,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $74,232 ",,,," $17,411 ",2002,,Maintenance," 34,300.2 "," 76,273.9 "," 11,247.1 "," 11,196.8 "," 10,936.3 "," 11,074.9 "," 11,117.5 "," 23,302.1 "," 16,783.3 "," 26,632.7 "," 29,319.5 "," 29,514.3 "," 29,011.7 "," 20,933.6 "," 29,877.8 "," 29,291.6 "," 29,188.7 "," 26,410.2 "," 31,940.2 "," 31,925.6 "," 31,332.8 "
"Benefits, Pensions and Payroll Taxes",," $57,955 ",,,," $23,031 ",2003,,"Passenger, Cargo and Aircraft Handling"," 6,071.5 "," 5,855.4 "," 8,473.8 "," 7,963.1 "," 9,227.0 "," 9,262.3 "," 9,363.3 "," 5,017.4 "," 6,538.3 "," 4,993.7 "," 5,377.3 "," 5,654.2 "," 5,656.4 "," 6,032.0 "," 5,831.1 "," 5,943.1 "," 5,686.2 "," 5,117.9 "," 4,873.6 "," 5,243.4 "," 5,555.7 "
"Benefits, Pensions and Payroll Taxes",," $59,832 ",,,," $18,399 ",2004,,Other," 6,752.5 "," 5,986.9 "," 9,469.2 "," 9,519.6 "," 8,544.3 "," 6,945.5 "," 6,244.6 "," 11,985.1 "," 14,579.5 "," 31,681.8 "," 32,763.7 "," 39,030.3 "," 37,668.2 "," 46,511.2 "," 43,555.0 "," 43,711.6 "," 40,112.4 "," 41,176.3 "," 45,546.9 "," 48,738.9 "," 50,402.5 "
"Benefits, Pensions and Payroll Taxes",," $40,709 ",,,," $13,903 ",2005,,Total," 2,094.9 "," 2,056.0 "," 2,029.5 "," 1,975.2 "," 1,907.6 "," 1,841.0 "," 1,756.6 "," 1,971.7 "," 2,191.2 "," 2,388.9 "," 2,476.0 "," 2,600.3 "," 2,572.4 "," 2,636.2 "," 2,634.6 "," 2,646.8 "," 2,559.1 "," 2,458.9 "," 2,436.7 "," 2,534.1 "," 2,611.4 "
"Benefits, Pensions and Payroll Taxes",," $37,321 ",,,," $15,328 ",2006,,,,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $35,384 ",,,," $15,737 ",2007,,Employees Per Aircraft,,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $41,384 ",,,," $18,271 ",2008,,Pilots & Co-Pilots (Crews), 6.3 , 6.5 , 7.3 , 8.1 , 9.3 , 8.3 , 8.5 , 7.2 , 7.0 , 6.1 , 6.6 , 6.8 , 7.0 , 7.1 , 7.3 , 7.7 , 7.7 , 7.1 , 7.3 , 8.3 , 7.9 
"Benefits, Pensions and Payroll Taxes",," $50,202 ",,,," $15,095 ",2009,,Flight Attendants (Crews), 6.4 , 6.5 , 5.1 , 10.0 , 11.0 , 10.4 , 10.6 , 9.0 , 8.1 , 8.0 , 8.9 , 8.7 , 8.8 , 7.8 , 8.7 , 9.0 , 8.9 , 8.2 , 8.2 , 8.8 , 7.9 
"Benefits, Pensions and Payroll Taxes",," $44,171 ",,,," $18,704 ",2010,,Maintenance (Inhouse), 8.4 , 3.8 , 26.4 , 27.1 , 27.5 , 26.4 , 24.8 , 11.5 , 14.8 , 10.5 , 10.3 , 10.5 , 10.8 , 14.6 , 10.8 , 11.5 , 11.4 , 11.7 , 9.6 , 10.5 , 9.9 
"Benefits, Pensions and Payroll Taxes",," $26,622 ",,,," $21,864 ",2011,,"Passenger, Cargo and Aircraft Handling (Inhouse)", 47.3 , 49.6 , 35.1 , 38.1 , 32.6 , 31.5 , 29.5 , 53.3 , 37.9 , 56.1 , 56.4 , 55.0 , 55.4 , 50.6 , 55.1 , 56.9 , 58.4 , 60.6 , 62.6 , 63.9 , 55.9 
"Benefits, Pensions and Payroll Taxes",," $38,975 ",,,," $17,847 ",2012,,Other (Inhouse), 42.5 , 48.5 , 31.4 , 31.9 , 35.2 , 42.0 , 44.2 , 22.3 , 17.0 , 8.8 , 9.3 , 8.0 , 8.3 , 6.6 , 7.4 , 7.7 , 8.3 , 7.5 , 6.7 , 6.9 , 6.2 
"Benefits, Pensions and Payroll Taxes",," $48,230 ",,,," $17,496 ",2013,,Total, 137.0 , 141.2 , 146.4 , 153.7 , 157.8 , 158.5 , 157.1 , 135.6 , 113.1 , 117.4 , 122.5 , 119.6 , 121.7 , 115.8 , 121.9 , 127.8 , 129.7 , 126.1 , 125.2 , 132.2 , 118.9 
"Benefits, Pensions and Payroll Taxes",," $49,506 ",,,," $17,739 ",2014,,,,,,,,,,,,,,,,,,,,,,,
"Benefits, Pensions and Payroll Taxes",," $49,833 ",,,," $19,351 ",2015,,Passengers Per Employee,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $11,188 "," $14,451 ",,,,1995,,Pilots & Co-Pilots," 10,352 "," 10,423 "," 9,275 "," 8,675 "," 7,366 "," 7,358 "," 6,676 "," 8,570 "," 8,598 "," 11,120 "," 10,892 "," 11,044 "," 10,790 "," 9,965 "," 10,049 "," 9,809 "," 9,199 "," 9,351 "," 8,809 "," 8,577 "," 8,587 "
Personnel compensation,," $12,057 "," $15,158 ",,,,1996,,Flight Attendants," 5,702 "," 5,787 "," 7,419 "," 3,883 "," 3,485 "," 3,523 "," 3,171 "," 3,664 "," 4,072 "," 4,648 "," 4,368 "," 4,659 "," 4,551 "," 4,779 "," 4,323 "," 4,242 "," 4,002 "," 4,308 "," 4,234 "," 4,266 "," 4,469 "
Personnel compensation,," $11,399 "," $21,317 ",,,,1997,,Maintenance," 17,047 "," 38,382 "," 5,603 "," 5,590 "," 5,359 "," 5,296 "," 5,070 "," 10,726 "," 8,124 "," 12,984 "," 13,961 "," 14,300 "," 13,982 "," 9,730 "," 13,652 "," 12,998 "," 12,390 "," 11,302 "," 13,547 "," 13,512 "," 13,612 "
Personnel compensation,," $11,021 "," $12,033 ",,,,1998,,"Passenger, Cargo and Aircraft Handling"," 3,017 "," 2,946 "," 4,221 "," 3,975 "," 4,521 "," 4,429 "," 4,270 "," 2,309 "," 3,165 "," 2,435 "," 2,560 "," 2,739 "," 2,726 "," 2,804 "," 2,664 "," 2,637 "," 2,414 "," 2,190 "," 2,067 "," 2,219 "," 2,414 "
Personnel compensation,," $10,515 "," $11,897 ",,,,1999,,Other," 3,356 "," 3,013 "," 4,717 "," 4,752 "," 4,187 "," 3,321 "," 2,848 "," 5,517 "," 7,057 "," 15,446 "," 15,601 "," 18,910 "," 18,154 "," 21,619 "," 19,902 "," 19,397 "," 17,027 "," 17,622 "," 19,318 "," 20,627 "," 21,896 "
Personnel compensation,," $11,318 "," $13,122 ",,,,2000,,Total," 1,041 "," 1,035 "," 1,011 ", 986 , 935 , 880 , 801 , 908 ," 1,061 "," 1,165 "," 1,179 "," 1,260 "," 1,240 "," 1,225 "," 1,204 "," 1,175 "," 1,086 "," 1,052 "," 1,033 "," 1,072 "," 1,134 "
Personnel compensation,," $11,826 "," $17,836 ",,,,2001,,,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $13,443 "," $11,739 ",,,,2002,,Productivity Measures Revenue,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $10,696 "," $10,890 ",,,,2003,,,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $13,163 "," $12,023 ",,,,2004,,Passenger Revenue Per Employee (000),,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $12,812 "," $11,118 ",,,,2005,,Pilots & Co-Pilots," $1,711.2 "," $1,812.1 "," $1,659.0 "," $1,518.0 "," $1,313.7 "," $1,455.9 "," $1,195.7 "," $1,441.3 "," $1,381.2 "," $1,875.4 "," $2,031.7 "," $2,212.8 "," $2,342.3 "," $2,324.1 "," $2,017.9 "," $2,438.2 "," $2,579.1 "," $2,610.5 "," $2,521.0 "," $2,519.7 "," $2,350.9 "
Personnel compensation,," $13,627 "," $10,982 ",,,,2006,,Flight Attendants, $942.5 ," $1,006.1 "," $1,327.0 ", $679.5 , $621.5 , $697.0 , $568.0 , $616.1 , $654.1 , $783.8 , $814.7 , $933.4 , $987.9 ," $1,114.6 ", $868.0 ," $1,054.5 "," $1,122.0 "," $1,202.6 "," $1,211.7 "," $1,253.2 "," $1,223.4 "
Personnel compensation,," $14,822 "," $12,820 ",,,,2007,,Maintenance," $2,818.0 "," $6,673.1 "," $1,002.2 ", $978.2 , $955.7 ," $1,047.8 ", $908.1 ," $1,803.7 "," $1,305.0 "," $2,189.7 "," $2,604.0 "," $2,865.1 "," $3,035.3 "," $2,269.3 "," $2,741.5 "," $3,230.9 "," $3,473.8 "," $3,155.2 "," $3,877.2 "," $3,969.5 "," $3,726.6 "
Personnel compensation,," $15,071 "," $14,142 ",,,,2008,,"Passenger, Cargo and Aircraft Handling", $498.8 , $512.3 , $755.1 , $695.7 , $806.4 , $876.3 , $764.9 , $388.4 , $508.4 , $410.6 , $477.6 , $548.9 , $591.8 , $653.9 , $535.0 , $655.5 , $676.7 , $611.4 , $591.6 , $651.9 , $660.8 
Personnel compensation,," $14,946 "," $11,957 ",,,,2009,,Other, $554.8 , $523.8 , $843.8 , $831.6 , $746.7 , $657.1 , $510.1 , $927.7 ," $1,133.6 "," $2,604.9 "," $2,909.9 "," $3,788.8 "," $3,941.0 "," $5,042.0 "," $3,996.5 "," $4,821.4 "," $4,773.9 "," $4,919.3 "," $5,528.9 "," $6,060.0 "," $5,994.6 "
Personnel compensation,," $14,511 "," $11,231 ",,,,2010,,Total, $172.1 , $179.9 , $180.8 , $172.6 , $166.7 , $174.2 , $143.5 , $152.6 , $170.4 , $196.4 , $219.9 , $252.4 , $269.1 , $285.8 , $241.7 , $291.9 , $304.6 , $293.8 , $295.8 , $315.1 , $310.6 
Personnel compensation,," $13,321 "," $13,445 ",,,,2011,,,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $14,389 "," $16,142 ",,,,2012,,Salary and Benefits,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $16,672 "," $16,554 ",,,,2013,,,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $25,643 "," $14,465 ",,,,2014,,Average Salary,,,,,,,,,,,,,,,,,,,,,
Personnel compensation,," $13,771 "," $23,081 ",,,,2015,,Management and All Other," $28,122 "," $25,533 "," $46,217 "," $41,105 "," $38,910 "," $38,867 "," $39,307 "," $59,240 "," $62,207 "," $138,868 "," $133,761 "," $212,550 "," $197,643 "," $244,710 "," $212,604 "," $309,181 "," $267,035 "," $338,829 "," $297,323 "," $317,203 "," $435,987 "
,,,,,,,,,Pilots & Co-Pilots," $135,728 "," $146,249 "," $147,212 "," $135,886 "," $117,920 "," $132,126 "," $138,627 "," $184,429 "," $116,998 "," $132,010 "," $115,242 "," $114,985 "," $115,711 "," $119,460 "," $125,465 "," $124,228 "," $125,690 "," $143,076 "," $164,581 "," $185,430 "," $185,102 "
,,,,,,,,,Flight Attendants," $43,496 "," $46,528 "," $60,664 "," $33,258 "," $31,307 "," $35,604 "," $32,958 "," $44,188 "," $34,003 "," $39,314 "," $35,268 "," $36,180 "," $35,811 "," $40,139 "," $40,559 "," $40,373 "," $37,888 "," $50,490 "," $46,946 "," $47,927 "," $47,096 "
,,,,,,,,,Maintenance," $134,850 "," $307,347 "," $48,006 "," $47,085 "," $46,288 "," $49,525 "," $51,675 "," $103,942 "," $48,500 "," $70,429 "," $65,873 "," $68,432 "," $69,997 "," $53,420 "," $75,360 "," $75,290 "," $76,686 "," $64,970 "," $80,186 "," $80,903 "," $55,696 "
,,,,,,,,,"Passenger, Cargo and Aircraft Handling"," $38,803 "," $39,840 "," $63,328 "," $59,252 "," $70,214 "," $68,963 "," $68,096 "," $40,200 "," $49,469 "," $30,270 "," $26,099 "," $26,177 "," $25,624 "," $27,970 "," $26,918 "," $25,206 "," $25,973 "," $32,523 "," $29,332 "," $27,893 "," $31,472 "
,,,,,,,,,Total," $51,956 "," $53,889 "," $58,069 "," $55,442 "," $54,655 "," $56,962 "," $56,888 "," $65,069 "," $53,682 "," $54,195 "," $49,863 "," $54,984 "," $54,588 "," $58,044 "," $58,239 "," $65,011 "," $61,214 "," $73,701 "," $70,075 "," $74,445 "," $82,277 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Other Compensation Per Employee (All Employees),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Benefits, Pensions and Payroll Taxes",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pilots & Co-Pilots," $18,539 "," $21,294 "," $16,903 "," $23,224 "," $19,586 "," $25,855 "," $45,315 "," $74,232 "," $57,955 "," $59,832 "," $40,709 "," $37,321 "," $35,384 "," $41,384 "," $50,202 "," $44,171 "," $26,622 "," $38,975 "," $48,230 "," $49,506 "," $49,833 "
,,,,,,,,,All Others," $9,884 "," $9,385 "," $9,341 "," $9,203 "," $9,520 "," $9,151 "," $12,201 "," $17,411 "," $23,031 "," $18,399 "," $13,903 "," $15,328 "," $15,737 "," $18,271 "," $15,095 "," $18,704 "," $21,864 "," $17,847 "," $17,496 "," $17,739 "," $19,351 "
,,,,,,,,,Total," $10,754 "," $10,567 "," $10,165 "," $10,797 "," $10,798 "," $11,150 "," $16,175 "," $23,428 "," $27,339 "," $22,739 "," $16,804 "," $17,837 "," $17,995 "," $21,113 "," $19,301 "," $21,754 "," $22,426 "," $20,224 "," $21,101 "," $21,711 "," $23,378 "
,,,,,,,,,Personnel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pilots & Co-Pilots," $11,188 "," $12,057 "," $11,399 "," $11,021 "," $10,515 "," $11,318 "," $11,826 "," $13,443 "," $10,696 "," $13,163 "," $12,812 "," $13,627 "," $14,822 "," $15,071 "," $14,946 "," $14,511 "," $13,321 "," $14,389 "," $16,672 "," $25,643 "," $13,771 "
,,,,,,,,,Flight Attendents," $14,451 "," $15,158 "," $21,317 "," $12,033 "," $11,897 "," $13,122 "," $17,836 "," $11,739 "," $10,890 "," $12,023 "," $11,118 "," $10,982 "," $12,820 "," $14,142 "," $11,957 "," $11,231 "," $13,445 "," $16,142 "," $16,554 "," $14,465 "," $23,081 "
,,,,,,,,,Payroll Taxes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pilots & Co-Pilots," $5,696 "," $5,901 "," $5,420 "," $5,097 "," $4,628 "," $6,084 "," $7,207 "," $8,965 "," $11,129 "," $7,690 "," $7,660 "," $8,907 "," $9,330 "," $8,270 "," $8,690 "," $9,175 "," $9,484 "," $14,280 "," $8,993 "," $10,116 "," $8,602 "
,,,,,,,,,All Others," $3,202 "," $3,212 "," $3,309 "," $3,337 "," $3,539 "," $3,455 "," $3,685 "," $4,027 "," $3,629 "," $4,354 "," $3,589 "," $3,971 "," $3,768 "," $4,145 "," $4,336 "," $4,318 "," $4,521 "," $3,648 "," $4,630 "," $4,630 "," $5,089 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Raw Data,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Number of Months,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,Number of Days,365,366,365,365,365,366,365,365,365,366,365,365,365,365,365,365,365,366,365,365,365
,,,,,,,,,P10- Employee Count Data,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sum of General Management, 37 , 36 , 38 , 38 , 42 , 42 , 42 , 322 , 42 , 76 , 76 , 48 , 50 , 51 , 54 , 329 , 416 , 873 , 769 , 749 , 742 
,,,,,,,,,Sum of Pilots and Co-Pilots," 6,890 "," 7,214 "," 8,289 "," 9,204 "," 10,786 "," 9,855 "," 9,968 "," 7,992 "," 7,688 "," 6,374 "," 6,133 "," 6,277 "," 6,338 "," 6,337 "," 5,581 "," 5,515 "," 5,490 "," 9,899 "," 10,255 "," 10,563 "," 11,128 "
,,,,,,,,,Sum of Other Flight Personnel, 723 , 648 , 794 , 810 , 968 ," 1,549 "," 1,294 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,Sum of Passenger and General Services," 13,822 "," 14,161 "," 11,355 "," 22,373 "," 24,845 "," 23,821 "," 23,707 "," 18,696 "," 16,235 "," 15,250 "," 15,295 "," 14,881 "," 15,027 "," 13,214 "," 12,974 "," 12,752 "," 12,620 "," 21,488 "," 21,337 "," 21,238 "," 21,383 "
,,,,,,,,,Sum of Maintenance," 4,623 "," 2,135 "," 15,036 "," 15,541 "," 16,156 "," 15,846 "," 14,828 "," 6,386 "," 8,137 "," 5,459 "," 4,785 "," 4,848 "," 4,891 "," 6,490 "," 4,108 "," 4,162 "," 4,076 "," 8,190 "," 6,668 "," 6,705 "," 7,020 "
,,,,,,,,,Sum of AC Handling 1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,Sum of Aircraft Handling," 5,098 "," 5,375 ", 180 , 184 , 185 , 185 , 186 ," 4,818 "," 8,212 "," 28,687 "," 25,783 ", 926 , 920 , 885 , 793 ," 2,965 "," 3,109 "," 8,059 "," 11,155 "," 10,976 "," 10,806 "
,,,,,,,,,Sum of Aircraft Control, 516 , 555 , 511 , 540 , 616 , 645 , 639 ," 8,113 ", -   , -   , -   , 166 , 172 , 172 , 165 ," 1,011 ", 935 ," 1,104 "," 1,341 "," 1,275 "," 1,304 "
,,,,,,,,,Sum of Passenger Handling," 13,002 "," 14,024 "," 7,396 "," 8,578 "," 4,394 "," 3,580 "," 3,468 "," 14,955 "," 12,222 ", -   , -   ," 23,914 "," 23,994 "," 21,466 "," 20,091 "," 10,290 "," 10,483 "," 29,849 "," 30,850 "," 28,185 "," 27,115 "
,,,,,,,,,Sum of Cargo Handling," 7,501 "," 7,857 "," 11,870 "," 12,550 "," 13,954 "," 14,537 "," 13,313 "," 1,772 ", 453 , 427 , 307 , 300 , -   , -   , -   ," 6,247 "," 6,396 "," 3,251 ", 354 , 389 , 366 
,,,,,,,,,Sum of Trainees and Instructors, 632 ," 1,959 ", 182 , 220 , 184 , 183 , 179 , 198 , 141 , 195 , 180 , 188 , 190 , 107 , 53 , 130 , 178 , 524 , 581 , 346 , 350 
,,,,,,,,,Sum of Stats," 3,374 "," 3,416 "," 2,198 "," 2,269 "," 2,675 "," 3,236 "," 3,343 "," 2,568 "," 2,325 "," 2,608 "," 2,493 "," 2,026 "," 2,401 "," 1,750 "," 1,799 "," 1,921 "," 1,975 "," 3,279 "," 2,871 "," 2,877 "," 2,841 "
,,,,,,,,,Sum of Traffic Solicitors, 841 , 895 , 624 , 631 , 647 , 679 , 663 ," 1,637 "," 4,250 ", 999 , 911 , 653 , 581 , 445 , 413 , 362 , 438 , 637 , 575 , 523 , 519 
,,,,,,,,,Sum of Other," 18,636 "," 20,930 "," 14,855 "," 15,159 "," 17,173 "," 21,169 "," 22,214 "," 8,013 "," 2,651 ", 787 , 698 , 799 , 595 , 619 , 553 , 376 , 375 , 813 , 649 , 646 , 654 
,,,,,,,,,Sum of Transport Related, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,,,,,,,,,Sum of Total," 75,695 "," 79,205 "," 83,328 "," 88,097 "," 92,625 "," 95,327 "," 93,844 "," 75,470 "," 62,326 "," 60,860 "," 56,661 "," 55,027 "," 55,160 "," 51,536 "," 46,587 "," 46,060 "," 46,491 "," 87,966 "," 87,405 "," 84,472 "," 84,228 "
,,,,,,,,,P6- Objective Grouping Operating Expense Data,,,,,,,,,,,,,,,,,,,,,
